Year,region_emmigr,region_immigr,N
2025,Almaty,Almaty_city,36729
2025,Turkestan,Shymkent_city,35436
2025,Almaty_city,Almaty,34136
2025,Shymkent_city,Turkestan,21040
2025,Akmola,Astana_city,17326
2025,Astana_city,Akmola,13537
2025,Turkestan,Astana_city,9820
2025,Zhambyl,Almaty_city,8947
2025,Almaty_city,Astana_city,8747
2025,Zhetysu,Almaty_city,7286
2025,Turkestan,Almaty_city,6900
2025,Karaganda,Astana_city,6739
2025,Astana_city,Almaty_city,6666
2025,Zhambyl,Astana_city,6646
2025,Zhetysu,Almaty,6089
2025,Shymkent_city,Astana_city,5825
2025,Pavlodar,Astana_city,5411
2025,Kyzylorda,Astana_city,4764
2025,Kostanay,Astana_city,4720
2025,Astana_city,Turkestan,4612
2025,Abay,Astana_city,4514
2025,Zhambyl,Almaty,4080
2025,Astana_city,Shymkent_city,4050
2025,Almaty_city,Zhambyl,4018
2025,Turkestan,Almaty,3974
2025,Aktobe,Astana_city,3929
2025,Shymkent_city,Almaty_city,3771
2025,Almaty_city,Zhetysu,3625
2025,Almaty_city,Turkestan,3420
2025,North_Kaz,Astana_city,3234
2025,West_Kaz,Astana_city,3185
2025,Almaty,Zhetysu,3136
2025,Almaty_city,Shymkent_city,2944
2025,East_Kaz,Astana_city,2929
2025,Atyrau,Astana_city,2908
2025,Astana_city,Zhambyl,2862
2025,Almaty,Astana_city,2852
2025,North_Kaz,Akmola,2823
2025,Kyzylorda,Almaty_city,2811
2025,Astana_city,Karaganda,2720
2025,Mangystau,Astana_city,2379
2025,Ulytau,Karaganda,2268
2025,Abay,Almaty_city,2178
2025,Abay,East_Kaz,2158
2025,East_Kaz,Abay,1976
2025,Almaty,Zhambyl,1962
2025,Astana_city,Pavlodar,1913
2025,Almaty,Turkestan,1821
2025,Astana_city,Almaty,1806
2025,Astana_city,Kyzylorda,1800
2025,Astana_city,Kostanay,1773
2025,Astana_city,Abay,1709
2025,Ulytau,Astana_city,1691
2025,Atyrau,Aktobe,1674
2025,Abay,Almaty,1565
2025,Turkestan,Zhambyl,1519
2025,Karaganda,Almaty_city,1497
2025,Astana_city,Aktobe,1466
2025,Zhetysu,Astana_city,1452
2025,Mangystau,Almaty_city,1451
2025,Shymkent_city,Almaty,1378
2025,Aktobe,Almaty_city,1347
2025,Kyzylorda,Turkestan,1327
2025,Almaty_city,Kyzylorda,1306
2025,Akmola,North_Kaz,1282
2025,Zhambyl,Shymkent_city,1262
2025,Kyzylorda,Almaty,1215
2025,East_Kaz,Almaty_city,1210
2025,Turkestan,West_Kaz,1207
2025,Astana_city,Mangystau,1190
2025,Karaganda,Ulytau,1181
2025,Atyrau,Almaty_city,1170
2025,Atyrau,Mangystau,1165
2025,Zhambyl,Turkestan,1164
2025,Astana_city,East_Kaz,1160
2025,West_Kaz,Almaty_city,1148
2025,Astana_city,North_Kaz,1140
2025,West_Kaz,Turkestan,1125
2025,Almaty_city,Abay,1121
2025,Astana_city,Atyrau,1100
2025,Aktobe,Atyrau,1095
2025,Almaty,Shymkent_city,1077
2025,Turkestan,Kyzylorda,1040
2025,Astana_city,West_Kaz,1017
2025,Kyzylorda,Aktobe,986
2025,Almaty_city,Mangystau,983
2025,Shymkent_city,West_Kaz,960
2025,Pavlodar,Almaty_city,952
2025,West_Kaz,Shymkent_city,943
2025,Mangystau,Atyrau,930
2025,Shymkent_city,Zhambyl,902
2025,Karaganda,Akmola,895
2025,Turkestan,Mangystau,869
2025,Turkestan,Karaganda,860
2025,Akmola,Kostanay,826
2025,Almaty_city,Atyrau,795
